"RAISON_SOCIALE";"SIRET";"SIREN";"NUM_TVA";"ADRESSE";"CODE_POSTAL";"VILLE";"PAYS";"TELEPHONE";"EMAIL_CONTACT";"SITE_WEB";"SECTEUR_ACTIVITE";"CHIFFRE_AFFAIRES";"DATE_CREATION";"ACTIF"
"Bernard Partners GIE";"73090501878493";"730905018";"FR93730905018";"29 Rue du Commerce";"13100";"Aix-en-Provence";"France";"+33 2 28 82 85 84";"contact@bernard.fr";"https://www.bernard.fr";"Santé";"46253915.52";"2004-07-12";"True"
"Aubert Group SA";"38361454760206";"383614547";"FR54383614547";"125 Avenue Foch";"93200";"Saint-Denis";"France";"+33 5 70 14 32 45";"contact@aubert.fr";"https://www.aubert.fr";"Luxe";"7278248.26";"2018-01-07";"True"
"Mathieu Industries EURL";"15292578072287";"152925780";"FR41152925780";"96 Rue de la Paix";"42000";"Saint-Étienne";"France";"+33 3 48 49 45 72";"contact@mathieu.fr";"https://www.mathieu.fr";"Santé";"48627582.47";"2010-03-23";"True"
"Rolland Services SASU";"38928750364627";"389287503";"FR78389287503";"23 Avenue Victor Hugo";"54000";"Nancy";"France";"+33 4 37 62 72 76";"contact@rolland.fr";"https://www.rolland.fr";"Automobile";"41068767.88";"2023-02-11";"True"
"Leroy Consulting SA";"53313150227779";"533131502";"FR27533131502";"135 Rue Jean Moulin";"64100";"Bayonne";"France";"+33 5 13 32 34 35";"contact@leroy.fr";"https://www.leroy.fr";"Banque & Finance";"12549564.04";"2020-06-22";"True"
"Lopez Industries EURL";"39418109858280";"394181098";"FR10394181098";"130 Boulevard Voltaire";"80000";"Amiens";"France";"+33 1 97 13 40 57";"contact@lopez.fr";"https://www.lopez.fr";"Éducation";"29742775.31";"2007-12-19";"False"
"Marchand Consulting SCI";"47555183555121";"475551835";"FR81475551835";"67 Place du Marché";"44000";"Nantes";"France";"+33 1 46 13 59 16";"contact@marchand.fr";"https://www.marchand.fr";"Énergie";"42705684.2";"2009-08-12";"True"
"Adam Industries SARL";"38892629095404";"388926290";"FR26388926290";"132 Rue de la Paix";"13100";"Aix-en-Provence";"France";"+33 1 70 26 92 32";"contact@adam.fr";"https://www.adam.fr";"Technologie";"11266124.58";"2013-09-13";"True"
"Delmas Solutions EURL";"55505908359345";"555059083";"FR86555059083";"118 Place de la Bastille";"49000";"Angers";"France";"+33 2 69 48 96 76";"contact@delmas.fr";"https://www.delmas.fr";"Luxe";"29265909.08";"2000-04-30";"True"
"Lacroix Services GIE";"70285998694848";"702859986";"FR81702859986";"73 Rue Lafayette";"54000";"Nancy";"France";"+33 1 71 18 53 45";"contact@lacroix.fr";"https://www.lacroix.fr";"Agroalimentaire";"43088430.85";"2011-09-18";"True"
"Boulanger Industries SA";"26098535377802";"260985353";"FR07260985353";"62 Rue Jean Moulin";"64000";"Pau";"France";"+33 1 86 61 94 50";"contact@boulanger.fr";"https://www.boulanger.fr";"Industrie";"36092031.56";"2022-04-23";"False"
"Rousseau Group SASU";"51690701814629";"516907018";"FR11516907018";"147 Rue Émile Zola";"14000";"Caen";"France";"+33 2 53 38 97 78";"contact@rousseau.fr";"https://www.rousseau.fr";"Éducation";"45335672.62";"2016-01-30";"True"
"Girard Consulting GIE";"29449314648506";"294493146";"FR55294493146";"121 Rue de Rivoli";"69001";"Lyon";"France";"+33 3 81 33 97 52";"contact@girard.fr";"https://www.girard.fr";"Assurance";"11190450.22";"2010-01-07";"True"
"Nicolas Services SASU";"49909096944152";"499090969";"FR28499090969";"76 Avenue de la Liberté";"14000";"Caen";"France";"+33 1 70 16 91 84";"contact@nicolas.fr";"https://www.nicolas.fr";"Assurance";"23663762.15";"2008-09-22";"True"
"Maréchal Consulting SASU";"42035705064146";"420357050";"FR61420357050";"39 Rue de Rivoli";"75020";"Paris";"France";"+33 2 53 62 82 68";"contact@marechal.fr";"https://www.marechal.fr";"Industrie";"15887534.54";"2008-02-02";"True"
"Deschamps Conseil SA";"43652579493165";"436525794";"FR85436525794";"2 Avenue de la Liberté";"75020";"Paris";"France";"+33 3 36 31 83 30";"contact@deschamps.fr";"https://www.deschamps.fr";"Éducation";"39282024.19";"2003-12-13";"True"
"Lemaire Group EURL";"53314045566233";"533140455";"FR17533140455";"99 Rue de la Paix";"87000";"Limoges";"France";"+33 1 78 35 57 11";"contact@lemaire.fr";"https://www.lemaire.fr";"Agroalimentaire";"37866702.13";"2023-10-27";"True"
"Carlier Industries SAS";"34295095255134";"342950952";"FR58342950952";"34 Rue du Faubourg Saint-Honoré";"83000";"Toulon";"France";"+33 4 74 85 49 31";"contact@carlier.fr";"https://www.carlier.fr";"Assurance";"41209807.1";"2013-05-17";"False"
"Brunet Consulting EURL";"74034732178697";"740347321";"FR92740347321";"112 Rue Jean Moulin";"21000";"Dijon";"France";"+33 2 53 72 55 34";"contact@brunet.fr";"https://www.brunet.fr";"Énergie";"47409409.25";"2018-02-04";"True"
"François Conseil EURL";"32676378312872";"326763783";"FR49326763783";"130 Boulevard Saint-Germain";"14000";"Caen";"France";"+33 1 56 93 14 58";"contact@françois.fr";"https://www.françois.fr";"Immobilier";"38585358.2";"2002-03-07";"True"
"Petit Technologies EURL";"80176288312587";"801762883";"FR31801762883";"30 Rue du Commerce";"75020";"Paris";"France";"+33 4 58 25 80 42";"contact@petit.fr";"https://www.petit.fr";"Éducation";"35123223.92";"2009-03-20";"True"
"Dufour Solutions SAS";"55190728696725";"551907286";"FR61551907286";"134 Place de la Bastille";"69001";"Lyon";"France";"+33 5 87 99 27 63";"contact@dufour.fr";"https://www.dufour.fr";"Santé";"25628080.84";"2005-04-12";"True"
"Michel Industries SASU";"75391071536181";"753910715";"FR35753910715";"68 Rue Émile Zola";"64100";"Bayonne";"France";"+33 5 35 55 62 47";"contact@michel.fr";"https://www.michel.fr";"Énergie";"2066344.81";"2022-04-07";"False"
"Leclerc Services SASU";"35179811610358";"351798116";"FR22351798116";"23 Rue Pierre Curie";"75001";"Paris";"France";"+33 1 83 95 73 29";"contact@leclerc.fr";"https://www.leclerc.fr";"Assurance";"38998358.51";"2003-05-14";"True"
"Lefebvre Industries SA";"59043289948800";"590432899";"FR42590432899";"119 Avenue des Champs-Élysées";"51100";"Reims";"France";"+33 1 32 15 47 56";"contact@lefebvre.fr";"https://www.lefebvre.fr";"Agroalimentaire";"21357160.8";"2005-03-13";"True"
"Breton & Associés SAS";"24859990196947";"248599901";"FR83248599901";"44 Avenue Jean Jaurès";"93200";"Saint-Denis";"France";"+33 3 66 89 44 21";"contact@breton.fr";"https://www.breton.fr";"Automobile";"40766718.05";"2008-03-15";"True"
"Sanchez Solutions SASU";"99733500260556";"997335002";"FR54997335002";"123 Avenue de Verdun";"78000";"Versailles";"France";"+33 4 93 31 24 26";"contact@sanchez.fr";"https://www.sanchez.fr";"Banque & Finance";"49080301.61";"2007-02-24";"True"
"Moulin Partners SASU";"82841908367430";"828419083";"FR85828419083";"98 Rue Victor Hugo";"34000";"Montpellier";"France";"+33 3 88 13 97 26";"contact@moulin.fr";"https://www.moulin.fr";"Éducation";"46027859.48";"2005-01-24";"True"
"Renard Technologies SAS";"38090467695848";"380904676";"FR11380904676";"4 Chemin du Moulin";"38000";"Grenoble";"France";"+33 5 83 82 38 95";"contact@renard.fr";"https://www.renard.fr";"Agroalimentaire";"26003073.98";"2004-04-09";"True"
"Noel Digital SARL";"47124568796993";"471245687";"FR00471245687";"99 Rue de Rivoli";"86000";"Poitiers";"France";"+33 5 88 16 11 92";"contact@noel.fr";"https://www.noel.fr";"Énergie";"25327821.84";"2021-01-18";"True"
"Girard Digital SAS";"44427794241574";"444277942";"FR03444277942";"72 Avenue des Champs-Élysées";"21000";"Dijon";"France";"+33 5 38 80 92 58";"contact@girard.fr";"https://www.girard.fr";"Luxe";"40873454.96";"2003-07-15";"True"
"Charpentier Technologies SASU";"63521321368598";"635213213";"FR58635213213";"31 Rue Pasteur";"38000";"Grenoble";"France";"+33 1 23 61 62 14";"contact@charpentier.fr";"https://www.charpentier.fr";"Médias";"27500029.61";"2004-01-29";"True"
"Renaud Solutions EURL";"64582349383706";"645823493";"FR57645823493";"117 Avenue Jean Jaurès";"33000";"Bordeaux";"France";"+33 3 16 38 68 52";"contact@renaud.fr";"https://www.renaud.fr";"Médias";"38394078.35";"2021-03-22";"True"
"Lopez Digital EURL";"22243165222771";"222431652";"FR55222431652";"57 Rue de la Paix";"64000";"Pau";"France";"+33 3 55 91 47 80";"contact@lopez.fr";"https://www.lopez.fr";"Tourisme";"18757128.99";"2004-10-07";"True"
"Girard Conseil SASU";"98244254263636";"982442542";"FR01982442542";"66 Rue de la Gare";"69001";"Lyon";"France";"+33 2 34 25 60 37";"contact@girard.fr";"https://www.girard.fr";"BTP";"41245251.77";"2008-07-19";"True"
"Michel Group GIE";"14992937993000";"149929379";"FR22149929379";"32 Rue Victor Hugo";"86000";"Poitiers";"France";"+33 4 68 94 85 74";"contact@michel.fr";"https://www.michel.fr";"Industrie";"48196352.33";"2000-03-12";"True"
"Petit Group SCI";"72826857973298";"728268579";"FR59728268579";"46 Chemin du Moulin";"66000";"Perpignan";"France";"+33 5 32 26 23 59";"contact@petit.fr";"https://www.petit.fr";"Agroalimentaire";"25255094.96";"2017-04-03";"True"
"Perrot Industries EURL";"39377133762149";"393771337";"FR08393771337";"76 Avenue de la Liberté";"21000";"Dijon";"France";"+33 2 27 62 87 99";"contact@perrot.fr";"https://www.perrot.fr";"Tourisme";"15015765.43";"2014-01-30";"True"
"Pons Industries EURL";"31570300937487";"315703009";"FR69315703009";"75 Allée des Tilleuls";"95100";"Argenteuil";"France";"+33 3 96 26 93 32";"contact@pons.fr";"https://www.pons.fr";"Tourisme";"27170324.77";"2014-06-17";"True"
"Breton Consulting SA";"61579327986389";"615793279";"FR08615793279";"107 Allée des Tilleuls";"68100";"Mulhouse";"France";"+33 5 46 64 11 76";"contact@breton.fr";"https://www.breton.fr";"Santé";"1361079.85";"2006-07-09";"True"
"Durand Solutions SARL";"90550502731094";"905505027";"FR23905505027";"65 Rue de Rivoli";"76600";"Le Havre";"France";"+33 1 98 47 36 79";"contact@durand.fr";"https://www.durand.fr";"Banque & Finance";"17998253.62";"2020-04-20";"True"
"Carlier Consulting EURL";"34084822294819";"340848222";"FR69340848222";"100 Rue de la République";"76000";"Rouen";"France";"+33 5 99 46 98 95";"contact@carlier.fr";"https://www.carlier.fr";"Banque & Finance";"46331592.08";"2017-05-20";"True"
"Maréchal Consulting SA";"15776966511699";"157769665";"FR29157769665";"65 Avenue Victor Hugo";"06600";"Antibes";"France";"+33 5 66 38 91 92";"contact@marechal.fr";"https://www.marechal.fr";"Automobile";"37779874.49";"2008-10-23";"True"
"Mercier Digital SA";"29050960099477";"290509600";"FR11290509600";"48 Boulevard Saint-Germain";"13001";"Marseille";"France";"+33 5 25 58 15 64";"contact@mercier.fr";"https://www.mercier.fr";"Immobilier";"27874271.17";"2005-11-01";"True"
"Faure Services SAS";"60071945630290";"600719456";"FR36600719456";"40 Rue Pierre Curie";"75015";"Paris";"France";"+33 3 86 16 90 88";"contact@faure.fr";"https://www.faure.fr";"Transport";"24578491.96";"2016-01-23";"True"
"Delmas Consulting SA";"33618241434100";"336182414";"FR36336182414";"18 Avenue de Verdun";"25000";"Besançon";"France";"+33 5 30 63 79 78";"contact@delmas.fr";"https://www.delmas.fr";"Luxe";"4688083.14";"2009-12-03";"True"
"Lacroix Services SA";"48740371848479";"487403718";"FR89487403718";"136 Rue Pasteur";"33000";"Bordeaux";"France";"+33 5 93 11 24 95";"contact@lacroix.fr";"https://www.lacroix.fr";"Automobile";"22338795.59";"2010-12-08";"False"
"Maréchal Group SA";"95492030724860";"954920307";"FR84954920307";"66 Rue des Écoles";"69100";"Villeurbanne";"France";"+33 3 13 76 57 75";"contact@marechal.fr";"https://www.marechal.fr";"Tourisme";"22333289.19";"2001-12-19";"True"
"Boulanger Services SARL";"65179023220793";"651790232";"FR88651790232";"43 Rue Victor Hugo";"69001";"Lyon";"France";"+33 5 78 10 90 18";"contact@boulanger.fr";"https://www.boulanger.fr";"Télécommunications";"33549722.79";"2009-07-24";"True"
"Picard Technologies GIE";"32073938180484";"320739381";"FR77320739381";"112 Impasse des Lilas";"78000";"Versailles";"France";"+33 1 97 29 13 68";"contact@picard.fr";"https://www.picard.fr";"Agroalimentaire";"1990527.11";"2003-04-15";"True"
"Faure Technologies SCI";"71736105639837";"717361056";"FR52717361056";"105 Boulevard Voltaire";"51100";"Reims";"France";"+33 4 90 61 65 50";"contact@faure.fr";"https://www.faure.fr";"Technologie";"19536143.18";"2005-04-22";"True"
"Adam Partners EURL";"16790084586756";"167900845";"FR74167900845";"19 Rue Nationale";"75015";"Paris";"France";"+33 5 23 47 97 48";"contact@adam.fr";"https://www.adam.fr";"Assurance";"14147720.47";"2019-08-19";"True"
"Lacroix Digital SAS";"26785105179922";"267851051";"FR24267851051";"35 Place du Marché";"59000";"Lille";"France";"+33 4 79 47 91 28";"contact@lacroix.fr";"https://www.lacroix.fr";"Transport";"33896723.37";"2016-09-26";"False"
"Bernard Consulting SCI";"25179903926152";"251799039";"FR26251799039";"2 Avenue Foch";"75015";"Paris";"France";"+33 5 60 78 80 20";"contact@bernard.fr";"https://www.bernard.fr";"Transport";"10581639.25";"2015-06-04";"True"
"Adam Consulting GIE";"25296001731096";"252960017";"FR78252960017";"57 Rue de la Gare";"34000";"Montpellier";"France";"+33 3 34 24 33 95";"contact@adam.fr";"https://www.adam.fr";"Banque & Finance";"42584247.35";"2020-09-09";"True"
"Moreau Technologies SA";"36917378222871";"369173782";"FR93369173782";"149 Rue Pasteur";"67000";"Strasbourg";"France";"+33 3 55 26 95 93";"contact@moreau.fr";"https://www.moreau.fr";"Distribution";"5092248.36";"2003-02-17";"False"
"Perrin Digital SASU";"45255891290785";"452558912";"FR49452558912";"79 Chemin du Moulin";"84000";"Avignon";"France";"+33 5 29 82 82 56";"contact@perrin.fr";"https://www.perrin.fr";"Agroalimentaire";"47937080.2";"2007-07-25";"True"
"Garnier Industries GIE";"86471799093995";"864717990";"FR47864717990";"71 Rue Émile Zola";"29200";"Brest";"France";"+33 3 27 96 52 71";"contact@garnier.fr";"https://www.garnier.fr";"BTP";"22323362.88";"2013-09-13";"True"
"Michel Partners SARL";"18801858346780";"188018583";"FR82188018583";"138 Avenue Victor Hugo";"31000";"Toulouse";"France";"+33 3 90 19 19 12";"contact@michel.fr";"https://www.michel.fr";"Tourisme";"31618162.07";"2018-03-04";"True"
"Bonnet Consulting SAS";"37983464281233";"379834642";"FR27379834642";"121 Impasse des Lilas";"45000";"Orléans";"France";"+33 2 56 60 38 85";"contact@bonnet.fr";"https://www.bonnet.fr";"Transport";"6780674.85";"2022-06-24";"True"
"Masson Consulting SA";"11137273096858";"111372730";"FR53111372730";"43 Rue Victor Hugo";"35000";"Rennes";"France";"+33 5 27 67 30 32";"contact@masson.fr";"https://www.masson.fr";"Industrie";"36822398.46";"2021-09-08";"False"
"Richard Digital SARL";"34883957018239";"348839570";"FR78348839570";"95 Rue de la République";"51100";"Reims";"France";"+33 1 95 36 76 56";"contact@richard.fr";"https://www.richard.fr";"Luxe";"23536744.03";"2020-05-23";"True"
"Richard Services EURL";"21083701478337";"210837014";"FR50210837014";"71 Rue Émile Zola";"93100";"Montreuil";"France";"+33 3 84 79 82 32";"contact@richard.fr";"https://www.richard.fr";"Luxe";"32718398.13";"2016-05-21";"True"
"Moreau Solutions SCI";"50407995039215";"504079950";"FR65504079950";"104 Rue Nationale";"25000";"Besançon";"France";"+33 3 72 71 87 10";"contact@moreau.fr";"https://www.moreau.fr";"Tourisme";"44113508.74";"2019-09-25";"True"
"Moreau Solutions SCI";"32711476029692";"327114760";"FR45327114760";"41 Rue Nationale";"34000";"Montpellier";"France";"+33 5 25 94 39 63";"contact@moreau.fr";"https://www.moreau.fr";"Agroalimentaire";"36040757.38";"2021-08-07";"True"
"Barbier Partners SARL";"27313685394837";"273136853";"FR64273136853";"6 Rue de la République";"13100";"Aix-en-Provence";"France";"+33 1 26 83 85 30";"contact@barbier.fr";"https://www.barbier.fr";"Industrie";"31514067.2";"2001-10-04";"True"
"Vincent Conseil SAS";"37730417833597";"377304178";"FR49377304178";"104 Rue de la Gare";"25000";"Besançon";"France";"+33 5 91 12 94 46";"contact@vincent.fr";"https://www.vincent.fr";"Assurance";"10908011.55";"2021-02-22";"True"
"Girard Group SARL";"74514566328705";"745145663";"FR27745145663";"47 Rue de la Gare";"14000";"Caen";"France";"+33 5 43 31 97 53";"contact@girard.fr";"https://www.girard.fr";"BTP";"29867014.79";"2003-02-01";"True"
"Robin Technologies SARL";"11778399036522";"117783990";"FR91117783990";"130 Allée des Tilleuls";"25000";"Besançon";"France";"+33 4 29 87 22 32";"contact@robin.fr";"https://www.robin.fr";"Éducation";"45090250.1";"2001-10-01";"True"
"Aubert Technologies SCI";"20006196373208";"200061963";"FR50200061963";"34 Rue Jean Moulin";"84000";"Avignon";"France";"+33 5 79 10 96 93";"contact@aubert.fr";"https://www.aubert.fr";"Conseil";"26150007.06";"2016-08-12";"True"
"Caron Group SCI";"34640898573192";"346408985";"FR07346408985";"98 Rue Nationale";"64100";"Bayonne";"France";"+33 5 99 83 22 64";"contact@caron.fr";"https://www.caron.fr";"Industrie";"12800449.61";"2010-06-06";"False"
"Simon Partners SA";"68382674263562";"683826742";"FR78683826742";"49 Rue de la Paix";"51100";"Reims";"France";"+33 1 83 76 25 76";"contact@simon.fr";"https://www.simon.fr";"Technologie";"18813991.1";"2009-03-19";"True"
"Perrin Services SASU";"21444286130287";"214442861";"FR54214442861";"150 Place de la Bastille";"29200";"Brest";"France";"+33 3 78 64 82 56";"contact@perrin.fr";"https://www.perrin.fr";"Immobilier";"49590753.84";"2017-10-29";"True"
"Boyer Consulting SCI";"61804581133425";"618045811";"FR02618045811";"144 Rue des Écoles";"30000";"Nîmes";"France";"+33 4 42 49 83 54";"contact@boyer.fr";"https://www.boyer.fr";"Luxe";"36815543.29";"2005-05-05";"True"
"Arnaud Conseil GIE";"20767334938109";"207673349";"FR20207673349";"103 Avenue de Verdun";"66000";"Perpignan";"France";"+33 3 80 88 99 97";"contact@arnaud.fr";"https://www.arnaud.fr";"Banque & Finance";"8120826.66";"2000-03-27";"True"
"Vincent Partners SASU";"56748296721552";"567482967";"FR70567482967";"68 Rue de la République";"13001";"Marseille";"France";"+33 3 20 87 14 59";"contact@vincent.fr";"https://www.vincent.fr";"Luxe";"30736882.98";"2023-05-16";"True"
"Maillard Conseil SAS";"78750756074797";"787507560";"FR04787507560";"3 Avenue Victor Hugo";"37000";"Tours";"France";"+33 5 46 34 14 86";"contact@maillard.fr";"https://www.maillard.fr";"Tourisme";"25839100.21";"2010-05-23";"True"
"Carlier Services SAS";"35689984695854";"356899846";"FR67356899846";"41 Boulevard Haussmann";"75001";"Paris";"France";"+33 3 61 55 95 60";"contact@carlier.fr";"https://www.carlier.fr";"Luxe";"29345400.24";"2023-03-23";"True"
"Delmas Technologies SAS";"69012061647289";"690120616";"FR68690120616";"144 Rue Pierre Curie";"06400";"Cannes";"France";"+33 5 54 54 45 38";"contact@delmas.fr";"https://www.delmas.fr";"Télécommunications";"22792474.53";"2018-02-13";"True"
"Rousseau Group SARL";"64356902123954";"643569021";"FR63643569021";"19 Boulevard Gambetta";"76000";"Rouen";"France";"+33 3 53 24 75 42";"contact@rousseau.fr";"https://www.rousseau.fr";"Médias";"40676052.75";"2011-03-22";"True"
"Chevalier Digital SCI";"92674598141886";"926745981";"FR93926745981";"87 Rue Victor Hugo";"64000";"Pau";"France";"+33 4 97 68 85 13";"contact@chevalier.fr";"https://www.chevalier.fr";"Éducation";"5901788.24";"2003-01-11";"True"
"François Industries EURL";"95916675551383";"959166755";"FR30959166755";"91 Boulevard Gambetta";"13100";"Aix-en-Provence";"France";"+33 5 11 99 43 41";"contact@françois.fr";"https://www.françois.fr";"Transport";"4741170.57";"2015-05-05";"True"
"André Services SASU";"47960845838647";"479608458";"FR39479608458";"69 Boulevard Saint-Germain";"68100";"Mulhouse";"France";"+33 2 73 35 40 40";"contact@andre.fr";"https://www.andre.fr";"Immobilier";"10418253.75";"2009-02-04";"True"
"Renaud Conseil SA";"93637883023983";"936378830";"FR12936378830";"21 Allée des Tilleuls";"69003";"Lyon";"France";"+33 4 88 10 79 15";"contact@renaud.fr";"https://www.renaud.fr";"Éducation";"18622707.12";"2014-02-23";"True"
"Charpentier Solutions GIE";"62699823533969";"626998235";"FR11626998235";"131 Place de la Bastille";"64000";"Pau";"France";"+33 4 38 83 26 16";"contact@charpentier.fr";"https://www.charpentier.fr";"Tourisme";"39983568.9";"2021-06-15";"False"
"Robert Services SCI";"52275032199959";"522750321";"FR80522750321";"45 Avenue de la Liberté";"64100";"Bayonne";"France";"+33 1 99 76 68 50";"contact@robert.fr";"https://www.robert.fr";"Technologie";"689816.93";"2009-06-14";"True"
"Lefebvre Services SA";"75796546544039";"757965465";"FR00757965465";"141 Place de la Bastille";"34000";"Montpellier";"France";"+33 2 44 70 88 53";"contact@lefebvre.fr";"https://www.lefebvre.fr";"Automobile";"9277292.34";"2019-01-06";"True"
"Caron Services GIE";"49199950362506";"491999503";"FR58491999503";"116 Boulevard Saint-Germain";"42000";"Saint-Étienne";"France";"+33 5 26 83 97 39";"contact@caron.fr";"https://www.caron.fr";"Santé";"36068691.42";"2010-07-30";"True"
"Chevalier Conseil SARL";"95903367629601";"959033676";"FR45959033676";"3 Boulevard Saint-Germain";"87000";"Limoges";"France";"+33 4 73 27 90 76";"contact@chevalier.fr";"https://www.chevalier.fr";"Médias";"36055960.44";"2021-10-29";"True"
"Gaillard Partners GIE";"15122747562219";"151227475";"FR51151227475";"42 Avenue des Champs-Élysées";"69001";"Lyon";"France";"+33 2 42 70 90 22";"contact@gaillard.fr";"https://www.gaillard.fr";"BTP";"37255201.7";"2011-08-27";"True"
"Gaillard Solutions SCI";"46951781112599";"469517811";"FR52469517811";"32 Rue Nationale";"13100";"Aix-en-Provence";"France";"+33 5 35 83 83 93";"contact@gaillard.fr";"https://www.gaillard.fr";"Médias";"8809487.9";"2012-10-07";"True"
"Carlier Digital SCI";"93187542968580";"931875429";"FR66931875429";"98 Rue de la Gare";"13008";"Marseille";"France";"+33 3 69 90 28 31";"contact@carlier.fr";"https://www.carlier.fr";"Agroalimentaire";"21148642.74";"2018-02-26";"True"
"Moreau Conseil SAS";"46896506339912";"468965063";"FR23468965063";"82 Impasse des Lilas";"38000";"Grenoble";"France";"+33 3 44 87 92 60";"contact@moreau.fr";"https://www.moreau.fr";"Immobilier";"44395821.15";"2016-04-16";"True"
"Brun Group SASU";"27965645034102";"279656450";"FR66279656450";"33 Place du Marché";"75008";"Paris";"France";"+33 2 94 42 99 20";"contact@brun.fr";"https://www.brun.fr";"Télécommunications";"8428832.21";"2004-08-14";"True"
"Marchand & Associés SCI";"12830910562037";"128309105";"FR93128309105";"22 Rue du Faubourg Saint-Honoré";"25000";"Besançon";"France";"+33 3 89 29 20 93";"contact@marchand.fr";"https://www.marchand.fr";"Luxe";"15537595.61";"2011-02-05";"True"
"Renard Conseil EURL";"24095772379041";"240957723";"FR81240957723";"8 Avenue des Champs-Élysées";"44000";"Nantes";"France";"+33 3 51 70 69 79";"contact@renard.fr";"https://www.renard.fr";"Immobilier";"27472409.2";"2006-01-22";"False"
"Caron Conseil SCI";"73439987688326";"734399876";"FR34734399876";"145 Rue du Commerce";"80000";"Amiens";"France";"+33 5 91 91 78 49";"contact@caron.fr";"https://www.caron.fr";"Automobile";"24134418.97";"2010-03-10";"True"
"Renard Services SA";"54260047044053";"542600470";"FR93542600470";"78 Rue de la Paix";"06000";"Nice";"France";"+33 1 76 27 54 46";"contact@renard.fr";"https://www.renard.fr";"Éducation";"26801434.51";"2022-01-24";"False"
"Barbier & Associés SA";"92234579466418";"922345794";"FR68922345794";"60 Avenue de Verdun";"76600";"Le Havre";"France";"+33 1 80 57 34 62";"contact@barbier.fr";"https://www.barbier.fr";"Médias";"21911607.68";"2011-03-18";"True"
"Pichon Group EURL";"98951656459592";"989516564";"FR19989516564";"68 Boulevard Haussmann";"59000";"Lille";"France";"+33 4 90 40 76 88";"contact@pichon.fr";"https://www.pichon.fr";"Immobilier";"14305375.05";"2023-11-11";"True"
"Boyer Technologies SARL";"29585821627907";"295858216";"FR22295858216";"29 Impasse des Lilas";"76600";"Le Havre";"France";"+33 4 89 67 44 99";"contact@boyer.fr";"https://www.boyer.fr";"Éducation";"9470693.18";"2000-11-13";"True"
"Aubert Conseil SAS";"20981532146977";"209815321";"FR74209815321";"33 Chemin du Moulin";"42000";"Saint-Étienne";"France";"+33 4 11 39 21 29";"contact@aubert.fr";"https://www.aubert.fr";"Technologie";"24729619.7";"2015-05-03";"True"
"Giraud Digital SA";"84832804114159";"848328041";"FR82848328041";"21 Rue Émile Zola";"21000";"Dijon";"France";"+33 2 17 44 60 19";"contact@giraud.fr";"https://www.giraud.fr";"Médias";"23560324.15";"2008-08-14";"True"
"Faure Group GIE";"98932886811653";"989328868";"FR16989328868";"64 Boulevard Voltaire";"69003";"Lyon";"France";"+33 4 41 14 35 68";"contact@faure.fr";"https://www.faure.fr";"Santé";"26104842.09";"2009-05-08";"True"
"Maréchal Services SA";"27030773292465";"270307732";"FR07270307732";"11 Place du Marché";"06400";"Cannes";"France";"+33 5 76 25 42 71";"contact@marechal.fr";"https://www.marechal.fr";"Transport";"10016309.23";"2002-05-03";"True"
"Bonnet Industries SAS";"77958083166906";"779580831";"FR46779580831";"4 Boulevard Saint-Germain";"38000";"Grenoble";"France";"+33 3 84 25 60 41";"contact@bonnet.fr";"https://www.bonnet.fr";"Technologie";"48444862.98";"2021-04-26";"True"
"Fournier Technologies SA";"36706349330669";"367063493";"FR28367063493";"24 Allée des Tilleuls";"57000";"Metz";"France";"+33 5 53 90 17 17";"contact@fournier.fr";"https://www.fournier.fr";"Automobile";"32264287.34";"2024-01-22";"True"
"Bertrand Industries SASU";"44009650783184";"440096507";"FR29440096507";"89 Avenue de Verdun";"93200";"Saint-Denis";"France";"+33 4 34 12 98 58";"contact@bertrand.fr";"https://www.bertrand.fr";"Automobile";"36247517.98";"2011-03-31";"True"
"Deschamps Digital EURL";"70024829648628";"700248296";"FR89700248296";"126 Avenue Victor Hugo";"45000";"Orléans";"France";"+33 5 33 79 54 51";"contact@deschamps.fr";"https://www.deschamps.fr";"BTP";"13838690.7";"2007-03-12";"True"
"Fournier Solutions SASU";"97984396844517";"979843968";"FR72979843968";"94 Avenue de la Liberté";"45000";"Orléans";"France";"+33 1 91 74 58 33";"contact@fournier.fr";"https://www.fournier.fr";"Technologie";"31024756.87";"2016-05-01";"True"
"Legrand Technologies SA";"80683287780642";"806832877";"FR25806832877";"49 Boulevard Gambetta";"69100";"Villeurbanne";"France";"+33 4 80 29 88 46";"contact@legrand.fr";"https://www.legrand.fr";"Agroalimentaire";"20549245.94";"2014-06-12";"True"
"Brun Technologies EURL";"14700547327009";"147005473";"FR14147005473";"9 Avenue Victor Hugo";"34000";"Montpellier";"France";"+33 1 72 34 22 14";"contact@brun.fr";"https://www.brun.fr";"Luxe";"32930270.79";"2023-08-03";"True"
"Moulin & Associés SA";"49336963738930";"493369637";"FR85493369637";"19 Rue de la Paix";"54000";"Nancy";"France";"+33 2 93 72 20 69";"contact@moulin.fr";"https://www.moulin.fr";"Banque & Finance";"18110209.95";"2018-08-28";"True"
"Delmas Partners SAS";"38541736679339";"385417366";"FR82385417366";"19 Rue Émile Zola";"75015";"Paris";"France";"+33 3 19 37 76 22";"contact@delmas.fr";"https://www.delmas.fr";"Santé";"36286079.45";"2023-11-06";"True"
